model,feature_set,windows,lag_steps,n_features,best_epoch,n_engines_total,n_engines_padded,n_engines_full,rmse,mae,sequence_window_size,hidden_size,learning_rate
gru,raw,(),(),12,11,20,0,20,10.06739694788029,7.039750052130186,60,64,0.001
gru,rolling_mean,"(20,)",(),12,13,20,0,20,10.471004365638866,7.424826445463867,30,64,0.001
gru,rolling_mean,"(10,)",(),12,14,20,0,20,10.527215328517563,7.377544374016543,60,64,0.001
gru,rolling_mean,"(15,)",(),12,9,20,0,20,10.565948235185433,7.662102815462153,45,64,0.001
gru,rolling_mean,"(10,)",(),12,9,20,0,20,10.566533958307964,7.6288401012972145,45,64,0.001
gru,rolling_mean,"(20,)",(),12,14,20,0,20,10.59951558642905,7.702753616939742,60,64,0.001
gru,rolling_mean,"(10,)",(),12,15,20,0,20,10.612500116690782,7.028514397378683,30,64,0.001
gru,rolling_mean,"(15,)",(),12,13,20,0,20,10.634768762565471,7.459771298571131,30,64,0.001
gru,rolling_mean,"(15,)",(),12,11,20,0,20,10.711273842056158,7.33294940068544,60,64,0.001
gru,rolling_mean,"(20,)",(),12,9,20,0,20,10.732341346641254,7.967816130027167,45,64,0.001
gru,raw,(),(),12,9,20,0,20,10.968439202261422,8.214944771716032,45,64,0.001
gru,raw,(),(),12,15,20,0,20,11.27059988945358,7.697293842955324,30,64,0.001
